id,date,f1,f2,f3,f4,f5,b1,b2
22018,2022-02-21,16,21,29,31,34,6,9
22017,2022-02-19,10,14,18,23,25,7,11
22016,2022-02-16,1,7,17,26,32,1,9
22015,2022-02-14,1,2,8,12,30,5,12
22014,2022-02-12,1,4,10,18,32,1,9
22013,2022-02-09,4,9,16,25,32,5,6
22012,2022-01-26,3,5,10,33,34,7,10
22011,2022-01-24,3,5,17,24,32,5,12
22010,2022-01-22,4,19,25,31,35,2,11
22009,2022-01-19,13,14,18,31,33,7,10
22008,2022-01-17,1,2,13,18,34,6,7
22007,2022-01-15,5,22,23,25,35,3,11
22006,2022-01-12,1,5,7,17,20,5,12
22005,2022-01-10,2,13,17,19,34,5,9
22004,2022-01-08,7,20,27,30,33,3,4
22003,2022-01-05,2,18,24,25,34,8,12
22002,2022-01-03,4,6,7,9,24,4,12
22001,2022-01-01,8,11,19,22,29,3,11
21150,2021-12-29,4,10,11,23,26,7,10
21149,2021-12-27,20,26,28,30,35,10,11
21148,2021-12-25,1,4,12,16,29,4,8
21147,2021-12-22,1,2,8,12,26,1,7
21146,2021-12-20,3,5,8,18,20,9,11
21145,2021-12-18,3,8,25,29,30,1,6
21144,2021-12-15,3,20,25,30,34,2,9
21143,2021-12-13,9,17,19,29,34,4,11
21142,2021-12-11,11,13,17,19,25,2,9
21141,2021-12-08,2,8,16,29,34,5,12
21140,2021-12-06,5,24,26,33,35,9,12
21139,2021-12-04,5,13,18,23,34,8,9
21138,2021-12-01,9,11,12,15,31,5,11
21137,2021-11-29,2,7,13,14,19,4,5
21136,2021-11-27,8,12,19,27,33,2,5
21135,2021-11-24,4,7,17,29,31,5,6
21134,2021-11-22,2,6,14,19,28,1,6
21133,2021-11-20,8,9,17,26,28,6,8
21132,2021-11-17,4,21,28,29,33,3,11
21131,2021-11-15,6,8,16,34,35,5,6
21130,2021-11-13,2,3,14,27,28,5,10
21129,2021-11-10,2,16,17,18,34,4,10
21128,2021-11-08,14,17,18,23,27,5,8
21127,2021-11-06,1,2,15,17,26,2,11
21126,2021-11-03,1,11,12,34,35,9,12
21125,2021-11-01,17,19,21,27,31,4,9
21124,2021-10-30,10,17,22,25,35,7,9
21123,2021-10-27,8,23,26,27,33,8,9
21122,2021-10-25,14,15,26,27,29,4,5
21121,2021-10-23,2,15,19,29,30,2,9
21120,2021-10-20,5,10,21,25,31,5,11
21119,2021-10-18,1,2,9,16,30,9,10
21118,2021-10-16,14,17,18,28,34,2,3
21117,2021-10-13,11,18,21,22,33,5,6
21116,2021-10-11,4,25,28,29,35,3,11
21115,2021-10-09,8,13,19,20,29,6,10
21114,2021-10-06,8,9,13,29,30,1,11
21113,2021-09-29,17,18,25,27,28,4,8
21112,2021-09-27,18,21,22,23,35,11,12
21111,2021-09-25,7,8,15,19,28,8,9
21110,2021-09-22,11,14,29,31,32,11,12
21109,2021-09-20,3,4,7,27,31,6,9
21108,2021-09-18,5,19,22,26,35,2,6
21107,2021-09-15,3,5,13,20,25,7,11
21106,2021-09-13,2,13,14,32,34,2,12
21105,2021-09-11,7,10,11,17,18,4,9
21104,2021-09-08,23,25,26,30,33,3,11
21103,2021-09-06,4,10,23,30,31,5,11
21102,2021-09-04,2,8,11,16,23,2,7
21101,2021-09-01,13,18,19,27,32,6,11
21100,2021-08-30,7,11,23,26,28,2,7
21099,2021-08-28,15,19,27,28,30,3,4
21098,2021-08-25,2,7,21,27,33,7,9
21097,2021-08-23,11,26,30,31,33,3,10
21096,2021-08-21,7,8,10,20,21,1,5
21095,2021-08-18,10,15,19,20,30,11,12
21094,2021-08-16,5,6,24,27,33,5,12
21093,2021-08-14,20,25,27,28,31,8,11
21092,2021-08-11,12,14,27,28,34,3,7
21091,2021-08-09,1,4,10,21,29,3,5
21090,2021-08-07,6,7,19,26,32,6,12
21089,2021-08-04,1,17,24,28,35,10,12
21088,2021-08-02,2,14,31,34,35,1,7
21087,2021-07-31,10,14,15,25,28,3,10
21086,2021-07-28,2,3,7,16,17,6,10
21085,2021-07-26,1,12,15,26,35,10,11
21084,2021-07-24,2,10,14,30,33,6,9
21083,2021-07-21,7,9,11,26,35,1,8
21082,2021-07-19,1,14,22,29,33,3,10
21081,2021-07-17,5,13,24,29,35,7,8
21080,2021-07-14,15,16,20,29,30,6,10
21079,2021-07-12,6,14,19,26,33,8,11
21078,2021-07-10,2,8,17,19,25,1,5
21077,2021-07-07,2,6,9,21,25,6,8
21076,2021-07-05,6,13,22,25,26,2,4
21075,2021-07-03,6,14,15,17,20,1,5
21074,2021-06-30,11,14,18,20,25,3,7
21073,2021-06-28,8,12,14,20,24,6,10
21072,2021-06-26,2,3,15,22,26,3,11
21071,2021-06-23,8,11,16,29,35,1,4
21070,2021-06-21,3,20,21,22,24,6,12
21069,2021-06-19,1,3,24,32,33,4,6
21068,2021-06-16,2,20,21,26,30,2,10
21067,2021-06-14,1,4,22,23,34,8,9
21066,2021-06-12,24,26,29,34,35,9,11
21065,2021-06-09,23,25,30,31,35,7,8
21064,2021-06-07,1,17,19,32,34,6,10
21063,2021-06-05,5,9,14,29,30,9,11
21062,2021-06-02,4,6,23,32,34,5,7
21061,2021-05-31,15,19,20,26,32,4,7
21060,2021-05-29,9,13,25,31,33,3,7
21059,2021-05-26,4,16,27,28,35,2,9
21058,2021-05-24,13,15,17,23,34,1,11
21057,2021-05-22,5,7,19,20,28,5,7
21056,2021-05-19,3,11,16,21,26,9,10
21055,2021-05-17,3,6,10,11,24,10,11
21054,2021-05-15,3,6,17,20,25,3,9
21053,2021-05-12,3,6,15,17,35,7,11
21052,2021-05-10,2,11,13,14,30,9,12
21051,2021-05-08,1,4,14,16,19,3,4
21050,2021-05-05,9,22,32,33,35,5,10
21049,2021-05-03,1,10,22,23,25,2,12
21048,2021-05-01,4,7,17,21,27,10,12
21047,2021-04-28,1,6,9,25,33,4,8
21046,2021-04-26,6,8,12,14,18,6,8
21045,2021-04-24,1,4,6,11,19,7,9
21044,2021-04-21,6,18,31,33,35,10,11
21043,2021-04-19,7,12,17,19,34,1,10
21042,2021-04-17,9,15,20,23,29,4,5
21041,2021-04-14,2,5,9,11,32,4,9
21040,2021-04-12,2,3,9,16,19,3,7
21039,2021-04-10,4,12,14,21,35,2,11
21038,2021-04-07,9,11,20,29,32,1,7
21037,2021-04-05,10,21,27,29,33,4,12
21036,2021-04-03,8,17,25,28,33,7,11
21035,2021-03-31,5,11,16,30,32,3,4
21034,2021-03-29,8,10,14,25,34,7,8
21033,2021-03-27,1,3,5,30,32,1,5
21032,2021-03-24,1,11,14,34,35,7,10
21031,2021-03-22,1,4,19,20,34,3,5
21030,2021-03-20,18,23,25,26,32,2,7
21029,2021-03-17,2,6,10,32,33,4,7
21028,2021-03-15,2,3,5,17,29,4,10
21027,2021-03-13,9,21,22,26,30,4,12
21026,2021-03-10,7,11,20,24,27,1,11
21025,2021-03-08,17,18,23,30,31,10,12
21024,2021-03-06,11,14,21,24,31,2,10
21023,2021-03-03,7,9,13,16,32,2,9
21022,2021-03-01,2,12,22,30,33,2,4
21021,2021-02-27,16,18,29,33,35,9,12
21020,2021-02-24,7,21,22,30,33,4,6
21019,2021-02-22,1,12,13,28,29,3,4
21018,2021-02-20,2,20,23,26,34,5,10
21017,2021-02-08,17,21,26,29,32,2,7
21016,2021-02-06,8,9,10,19,34,1,2
21015,2021-02-03,4,8,17,19,25,1,7
21014,2021-02-01,7,13,20,27,29,4,9
21013,2021-01-30,21,27,28,30,34,8,11
21012,2021-01-27,6,12,20,23,33,1,9
21011,2021-01-25,6,9,11,14,21,1,3
21010,2021-01-23,1,5,16,22,34,8,11
21009,2021-01-20,1,3,20,29,32,5,12
21008,2021-01-18,5,19,20,27,33,3,8
21007,2021-01-16,5,23,30,34,35,8,10
21006,2021-01-13,4,22,25,28,35,4,5
21005,2021-01-11,3,7,10,12,35,3,5
21004,2021-01-09,5,10,17,23,28,2,8
21003,2021-01-06,7,21,28,31,35,4,10
21002,2021-01-04,2,16,26,31,34,9,11
21001,2021-01-02,2,6,12,19,33,8,9
20134,2020-12-30,8,11,13,22,25,4,7
20133,2020-12-28,11,24,26,33,35,8,9
20132,2020-12-26,3,15,16,17,21,7,10
20131,2020-12-23,8,25,27,29,35,2,3
20130,2020-12-21,16,17,23,26,32,2,12
20129,2020-12-19,10,22,27,33,34,1,11
20128,2020-12-16,9,12,13,26,33,4,10
20127,2020-12-14,1,4,17,18,26,3,10
20126,2020-12-12,1,4,9,22,28,4,12
20125,2020-12-09,1,2,3,8,22,1,4
20124,2020-12-07,11,15,24,26,35,4,5
20123,2020-12-05,1,7,11,15,21,4,11
20122,2020-12-02,8,19,29,34,35,6,11
20121,2020-11-30,9,17,27,28,35,3,8
20120,2020-11-28,5,25,26,30,35,4,10
20119,2020-11-25,14,22,24,28,32,7,8
20118,2020-11-23,1,9,15,30,33,4,9
20117,2020-11-21,7,19,20,23,24,5,10
20116,2020-11-18,8,10,12,16,22,3,9
20115,2020-11-16,1,9,18,19,23,1,9
20114,2020-11-14,10,12,21,24,30,3,7
20113,2020-11-11,6,14,18,28,33,2,5
20112,2020-11-09,8,11,13,30,32,2,6
20111,2020-11-07,5,7,9,20,28,2,7
20110,2020-11-04,11,16,20,21,28,5,11
20109,2020-11-02,2,20,21,23,32,6,12
20108,2020-10-31,2,3,6,7,33,8,9
20107,2020-10-28,1,4,13,17,28,3,7
20106,2020-10-26,2,3,11,14,27,4,10
20105,2020-10-24,3,8,12,13,22,4,12
20104,2020-10-21,3,12,23,26,30,4,7
20103,2020-10-19,7,12,13,19,23,2,8
20102,2020-10-17,7,11,18,20,29,9,12
20101,2020-10-14,3,4,5,9,34,7,9
20100,2020-10-12,4,5,8,22,33,7,10
20099,2020-10-10,2,3,11,15,27,4,12
20098,2020-10-07,4,9,15,24,35,4,10
20097,2020-10-05,5,25,27,30,34,6,12
20096,2020-09-30,7,8,10,25,28,3,11
20095,2020-09-28,2,18,25,26,32,2,7
20094,2020-09-26,4,6,7,8,16,2,8
20093,2020-09-23,6,14,25,27,28,4,11
20092,2020-09-21,8,11,17,31,35,7,11
20091,2020-09-19,12,16,20,23,31,5,12
20090,2020-09-16,5,6,27,28,29,11,12
20089,2020-09-14,13,16,20,22,27,1,2
20088,2020-09-12,2,7,23,26,35,1,12
20087,2020-09-09,1,4,20,23,29,4,8
20086,2020-09-07,8,11,15,20,28,4,10
20085,2020-09-05,3,4,11,15,28,2,3
20084,2020-09-02,2,10,20,24,31,6,12
20083,2020-08-31,1,2,17,32,34,4,9
20082,2020-08-29,2,11,12,21,34,4,8
20081,2020-08-26,1,13,15,32,35,8,10
20080,2020-08-24,3,6,22,24,25,9,10
20079,2020-08-22,4,16,24,29,35,2,12
20078,2020-08-19,14,18,20,28,34,10,11
20077,2020-08-17,17,23,28,29,32,1,3
20076,2020-08-15,1,8,18,28,30,10,12
20075,2020-08-12,2,9,10,21,35,1,7
20074,2020-08-10,3,9,10,12,21,4,11
20073,2020-08-08,4,10,12,23,27,8,9
20072,2020-08-05,11,15,18,20,27,5,6
20071,2020-08-03,1,12,16,28,33,3,12
20070,2020-08-01,1,22,30,31,32,4,12
20069,2020-07-29,5,7,26,30,31,7,10
20068,2020-07-27,15,20,23,26,33,2,8
20067,2020-07-25,1,8,14,16,28,4,10
20066,2020-07-22,6,14,21,34,35,3,10
20065,2020-07-20,13,15,26,32,33,5,7
20064,2020-07-18,5,10,23,34,35,1,11
20063,2020-07-15,11,18,20,21,33,6,7
20062,2020-07-13,1,5,14,23,31,2,7
20061,2020-07-11,7,8,12,21,26,1,6
20060,2020-07-08,12,14,25,34,35,3,12
20059,2020-07-06,1,15,22,28,32,3,11
20058,2020-07-04,1,15,19,26,27,5,10
20057,2020-07-01,17,20,21,22,31,2,8
20056,2020-06-29,3,11,25,29,34,3,6
20055,2020-06-27,3,4,12,18,34,10,12
20054,2020-06-24,11,14,15,19,20,3,7
20053,2020-06-22,2,15,18,21,27,3,6
20052,2020-06-20,9,11,26,28,35,6,7
20051,2020-06-17,2,7,9,19,33,1,7
20050,2020-06-15,3,14,16,22,34,2,6
20049,2020-06-13,3,11,15,22,30,8,10
20048,2020-06-10,3,9,10,15,16,7,9
20047,2020-06-08,4,18,27,28,30,3,10
20046,2020-06-06,15,24,27,30,34,4,12
20045,2020-06-03,2,9,16,23,27,3,8
20044,2020-06-01,1,3,22,28,30,2,5
20043,2020-05-30,12,13,17,31,32,1,6
20042,2020-05-27,3,4,5,11,22,5,6
20041,2020-05-25,7,13,20,29,34,4,7
20040,2020-05-23,2,17,20,28,29,1,7
20039,2020-05-20,1,5,15,22,31,2,9
20038,2020-05-18,4,15,20,22,24,1,9
20037,2020-05-16,1,4,10,11,14,2,5
20036,2020-05-13,1,5,11,12,26,2,7
20035,2020-05-11,10,11,22,26,28,2,4
20034,2020-05-09,11,13,20,27,31,2,4
20033,2020-05-06,7,19,20,31,34,5,8
20032,2020-05-04,2,3,9,16,32,3,4
20031,2020-05-02,1,2,5,15,21,4,5
20030,2020-04-29,1,8,17,27,30,5,6
20029,2020-04-27,11,14,17,22,30,7,9
20028,2020-04-25,4,5,28,34,35,1,8
20027,2020-04-22,4,7,20,25,32,3,9
20026,2020-04-20,3,15,26,32,34,8,12
20025,2020-04-18,2,14,21,22,26,5,7
20024,2020-04-15,3,5,6,24,30,3,7
20023,2020-04-13,4,11,23,26,30,1,6
20022,2020-04-11,4,14,20,28,35,2,3
20021,2020-04-08,10,12,24,31,33,4,9
20020,2020-04-06,8,10,12,26,32,5,9
20019,2020-04-04,1,12,22,23,33,1,12
20018,2020-04-01,9,14,16,24,26,4,12
20017,2020-03-30,1,6,7,9,10,2,11
20016,2020-03-28,4,8,19,31,35,1,2
20015,2020-03-25,1,7,23,24,26,3,7
20014,2020-03-23,3,7,9,17,21,3,6
20013,2020-03-21,1,4,5,11,35,3,9
20012,2020-03-18,1,6,18,32,34,1,3
20011,2020-03-16,2,13,19,22,23,2,7
20010,2020-03-14,1,8,13,24,32,2,9
20009,2020-01-20,19,29,31,34,35,6,10
20008,2020-01-18,14,17,19,24,32,1,6
20007,2020-01-15,2,10,19,24,30,5,8
20006,2020-01-13,9,22,25,31,32,8,12
20005,2020-01-11,6,10,33,34,35,1,3
20004,2020-01-08,17,20,21,29,30,5,9
20003,2020-01-06,23,25,26,30,34,3,7
20002,2020-01-04,3,7,18,25,30,2,7
20001,2020-01-01,17,25,26,32,34,4,7
19150,2019-12-30,7,11,12,16,33,5,7
19149,2019-12-28,1,2,7,33,35,6,10
19148,2019-12-25,3,4,7,11,30,8,9
19147,2019-12-23,9,12,19,22,33,7,8
19146,2019-12-21,10,11,26,33,34,1,6
19145,2019-12-18,5,9,19,22,32,3,5
19144,2019-12-16,2,5,20,28,31,2,11
19143,2019-12-14,4,22,23,24,32,6,12
19142,2019-12-11,3,4,26,29,33,6,7
19141,2019-12-09,2,10,20,21,35,1,12
19140,2019-12-07,3,7,8,25,27,3,5
19139,2019-12-04,1,5,7,8,11,6,10
19138,2019-12-02,4,6,7,20,29,2,4
19137,2019-11-30,3,5,12,13,26,7,12
19136,2019-11-27,3,16,20,26,29,3,9
19135,2019-11-25,4,5,19,25,26,1,11
19134,2019-11-23,5,6,7,14,17,10,11
19133,2019-11-20,3,12,24,27,34,1,12
19132,2019-11-18,3,5,6,13,18,10,12
19131,2019-11-16,5,6,14,27,29,6,10
19130,2019-11-13,1,13,20,21,26,4,10
19129,2019-11-11,10,13,18,23,30,6,12
19128,2019-11-09,20,21,25,34,35,3,12
19127,2019-11-06,4,7,8,11,16,9,11
19126,2019-11-04,5,9,16,18,30,4,7
19125,2019-11-02,5,8,9,14,34,2,5
19124,2019-10-30,7,17,26,27,30,6,12
19123,2019-10-28,3,13,15,26,30,5,12
19122,2019-10-26,5,19,25,31,33,10,11
19121,2019-10-23,1,2,3,7,17,4,10
19120,2019-10-21,6,15,17,22,25,1,9
19119,2019-10-19,3,6,9,23,34,2,11
19118,2019-10-16,2,3,13,19,26,2,3
19117,2019-10-14,1,18,21,25,35,7,8
19116,2019-10-12,2,10,16,21,23,2,12
19115,2019-10-09,1,18,21,28,32,5,12
19114,2019-09-30,3,5,7,20,23,4,11
19113,2019-09-28,3,11,27,34,35,1,2
19112,2019-09-25,3,10,16,21,33,5,6
19111,2019-09-23,6,15,20,23,27,8,10
19110,2019-09-21,1,19,23,24,30,4,5
19109,2019-09-18,2,7,8,20,25,11,12
19108,2019-09-16,24,27,28,31,34,4,8
19107,2019-09-14,5,9,19,27,35,2,3
19106,2019-09-11,5,8,10,32,35,2,10
19105,2019-09-09,1,4,9,14,17,1,6
19104,2019-09-07,2,7,19,22,28,3,5
19103,2019-09-04,5,12,22,27,32,4,7
19102,2019-09-02,5,10,15,19,31,3,6
19101,2019-08-31,5,11,18,19,27,5,6
19100,2019-08-28,5,8,12,19,21,6,11
19099,2019-08-26,4,6,18,27,33,7,9
19098,2019-08-24,13,15,17,19,22,3,4
19097,2019-08-21,10,17,20,30,35,10,12
19096,2019-08-19,2,12,22,23,27,2,6
19095,2019-08-17,3,12,17,19,31,2,6
19094,2019-08-14,1,12,14,26,27,7,9
19093,2019-08-12,16,17,26,29,35,1,7
19092,2019-08-10,2,11,15,27,30,2,5
19091,2019-08-07,4,13,20,26,28,3,12
19090,2019-08-05,13,19,28,30,33,2,12
19089,2019-08-03,9,14,18,33,34,3,12
19088,2019-07-31,1,5,18,27,33,6,8
19087,2019-07-29,5,6,18,19,27,7,12
19086,2019-07-27,5,15,16,28,31,2,7
19085,2019-07-24,4,5,6,15,26,8,11
19084,2019-07-22,12,23,25,34,35,1,7
19083,2019-07-20,17,24,26,28,32,7,9
19082,2019-07-17,6,18,20,21,31,3,4
19081,2019-07-15,6,24,26,30,33,2,7
19080,2019-07-13,5,13,18,19,24,2,7
19079,2019-07-10,10,13,16,28,35,4,5
19078,2019-07-08,5,10,21,26,30,1,7
19077,2019-07-06,1,15,17,21,33,7,10
19076,2019-07-03,1,6,11,23,29,1,11
19075,2019-07-01,5,6,7,11,16,2,11
19074,2019-06-29,8,9,13,14,34,5,7
19073,2019-06-26,4,11,19,20,24,8,11
19072,2019-06-24,2,4,6,9,18,7,10
19071,2019-06-22,7,13,14,15,22,7,11
19070,2019-06-19,2,13,15,22,34,2,12
19069,2019-06-17,8,22,23,33,34,4,6
19068,2019-06-15,4,5,8,17,27,6,11
19067,2019-06-12,3,8,11,15,16,2,10
19066,2019-06-10,4,10,11,18,31,5,8
19065,2019-06-08,3,8,10,23,27,2,12
19064,2019-06-05,7,8,13,19,29,11,12
19063,2019-06-03,5,8,15,18,21,4,8
19062,2019-06-01,5,16,23,25,28,1,12
19061,2019-05-29,1,2,13,14,26,5,11
19060,2019-05-27,1,11,12,18,21,8,10
19059,2019-05-25,7,8,15,27,32,8,12
19058,2019-05-22,3,10,13,14,32,7,11
19057,2019-05-20,8,14,16,34,35,6,12
19056,2019-05-18,1,7,10,12,23,6,8
19055,2019-05-15,2,4,6,19,22,2,6
19054,2019-05-13,2,18,23,27,30,5,10
19053,2019-05-11,1,11,19,26,35,11,12
19052,2019-05-08,4,10,15,20,24,7,11
19051,2019-05-06,11,15,16,20,29,4,8
19050,2019-05-04,4,15,16,20,35,3,12
19049,2019-05-01,10,16,22,26,27,7,11
19048,2019-04-29,6,10,16,29,33,5,11
19047,2019-04-27,3,4,10,16,32,4,9
19046,2019-04-24,2,8,14,15,35,10,12
19045,2019-04-22,1,4,16,19,33,3,12
19044,2019-04-20,3,6,10,12,31,1,2
19043,2019-04-17,2,6,7,12,15,6,12
19042,2019-04-15,4,10,13,28,33,11,12
19041,2019-04-13,12,19,20,22,28,2,6
19040,2019-04-10,1,3,31,32,34,1,3
19039,2019-04-08,1,12,18,26,35,6,12
19038,2019-04-06,5,11,16,18,27,7,12
19037,2019-04-03,6,16,26,33,35,4,8
19036,2019-04-01,3,9,21,28,30,1,12
19035,2019-03-30,1,3,5,7,18,8,9
19034,2019-03-27,8,12,15,27,30,1,2
